# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 2.9353435767615506,5.2666072872660905,4.716900976757199,0.9992075883255785,0.5386816108142634,-2.0,0.3375012694358692,167.75310754735528,10.408610233331613,80.5516708443801
 2.942338222148741,5.270325598117903,4.716970554997589,1.0720121258812156,0.5246923200398822,-2.000000000000016,0.3663210435764083,168.31653792025742,11.004137532979952,78.66587845334053
 2.9493433340794146,5.273951325655583,4.717043280643277,1.149097341000266,0.5106820961785351,-2.0,0.39848407560959925,168.86760120394783,11.650796735176275,76.77480266312645
 2.9563587760801107,5.277483954580101,4.717119180555383,1.230832829757794,0.49665121217714314,-1.9999999999999842,0.43449121351721,169.40621037914588,12.354679836398313,74.87877527154811
 2.9633843986569413,5.280922969592436,4.717198281595026,1.3176321473459076,0.48259996702348235,-1.9999999999999447,0.4749362355593682,169.9322803932191,13.122815077625956,72.97813231982816
 2.97042003747193,5.28426785539356,4.717280610623322,1.4099595344679703,0.46852868939350517,-2.0,0.5205266167066438,170.44572817361384,13.96334518629269,71.07321472345735
 2.977465511203602,5.2875180966844475,4.717366194501389,1.5083379161842683,0.45443774193016045,-2.0000000000000155,0.5721097736429108,170.94647264097347,14.885746540698518,69.16436902976368
 2.9845206190259317,5.290673178166076,4.717455060090345,1.6133584630447653,0.44032752628550126,-2.0000000000000155,0.6307064681201145,171.43443472194184,15.901100345036745,67.25194833078321
 2.9915851376235345,5.293732584539417,4.717547234251309,1.725692082154626,0.42619848909029606,-1.9999999999999372,0.6975536423045974,171.90953736164968,17.02243035035922,65.33631336706192
 2.9986588176402886,5.2966958005054465,4.717642743845395,1.846103307560551,0.41205112905678754,-2.000000000000039,0.7741597895299739,172.37170553588265,18.265126582497576,63.41783386949416
 3.0057413794315044,5.29956231076514,4.717741615733725,1.9754671952054683,0.3978860054743556,-2.000000000000047,0.8623771329960446,172.8208662629284,19.6474807652346,61.49689019840471
 3.0128325079546863,5.30233160001947,4.717843876777413,2.11479000646849,0.3837037484279915,-2.0000000000000626,0.9644965973402487,173.2569486151013,21.19136887805898,59.57387535616111
 3.0199318465878187,5.305003152969414,4.717949553837579,2.2652347102334534,0.3695050711617266,-2.0000000000000155,1.0833739547525323,173.6798837299427,22.92312823551075,57.64919747446182
 3.0270389896028447,5.307576454315944,4.718058673775341,2.4281526609550093,0.3552907851316743,-2.000000000000039,1.2225991791354018,174.08960482109518,24.874695787374183,55.72328290675398
 3.0341534729403925,5.310050988760038,4.718171263451816,2.605123269660854,0.3410618184565786,-2.0,1.3867263456311147,174.48604718884874,27.085099845784985,53.79658010176638
 3.0412747628213554,5.312426241002667,4.718287349728121,2.7980041171175136,0.326819238694653,-1.999999999999961,1.5815895398855202,174.86914823035787,29.60243658103377,51.86956448964649
 3.048402241580946,5.314701695744808,4.7184069594653755,3.0089948550809638,0.31256428117547175,-1.999999999999969,1.8147426842424308,175.23884744952704,32.486519812714825,49.94274469772266
 3.0555351899039302,5.316876837687435,4.718530119524695,3.2407195220986567,0.2982983845295038,-1.9999999999999767,2.0960806539487726,175.59508646656388,35.8124790257629,48.016670523801245
 3.0626727643524574,5.318951151531523,4.7186568567672,3.4963337573313558,0.2840232356324491,-2.000000000000062,2.438730102785985,175.93780902719791,39.675713464304835,46.09194325907277
 3.069813968673479,5.320924121978045,4.718787198054005,3.779666133762269,0.2697408269904057,-1.9999999999999922,2.8603489316162953,176.2669610115639,44.19881822168251,44.16922918161769
 3.076957616797527,5.322795233727979,4.71892117024623,4.0954069386367244,0.25545353074231014,-1.999999999999969,3.3850573665752246,176.5824904427478,49.541430351510925,42.24927737454158
 3.084102284612101,5.324563971482298,4.719058800204992,4.4493640015571305,0.24116419511316192,-1.9999999999999962,4.0463669823003245,176.8843474949947,55.91448692218221,40.332943499570696
 3.0912462463858117,5.326229819941975,4.719200114791408,4.84881495872584,0.22687627156574044,-2.0000000000000466,4.891725117365605,177.17248450157686,63.60129762074604,38.42122185306743
 3.0983873899390573,5.3277922638079875,4.719345140866597,5.303000955208284,0.21259398445924954,-1.999999999999965,5.989745522003618,177.4468559623207,72.98940543332303,36.51528902699673
 3.1055231020041774,5.329250787781309,4.719493905291675,5.823832336184789,0.19832256032900894,-2.000000000000058,7.442041864889136,177.707418550792,84.6199980604835,34.616563901762845
 3.1126501112314826,5.330604876562914,4.719646434927763,6.426919843176407,0.1840685418743987,-1.999999999999965,9.403218083943568,177.95413112113746,99.26675948154926,32.72679055766384
 3.119764270288252,5.331854014853777,4.719802756635976,7.13311935917824,0.16984022376085967,-1.9999999999999767,12.115872457517815,178.18695471458227,118.06583075352636,30.84815276608701
 3.1268602495081295,5.332997687354873,4.719962897277431,7.9709120407828085,0.15564826532110554,-1.9999999999999452,15.974451079509812,178.40585256558202,142.73799606971974,28.98342966598816
 3.133931101522824,5.334035378767178,4.720126883713249,8.980191287865841,0.14150656129171657,-2.0,21.647324714121666,178.61079010762853,175.98470095120808,27.136196824265113
 3.140967639189328,5.3349665737916645,4.720294742804544,10.218514264837463,0.12743348595870888,-1.9999999999999487,30.32316534366316,178.80173497870814,222.22811896781843,25.311046558487117
 3.147957553545312,5.335790757129309,4.720466501412436,11.771869783913976,0.11345365724674025,-2.0000000000000395,44.240353631032654,178.9786570264123,289.0697358542127,23.513680048991286
 3.154884214363482,5.336507413481085,4.720642186398043,13.774157796974087,0.09960033561040059,-1.999999999999966,67.9098734260421,179.14152831269863,390.33562953044986,21.750266311721045
 3.1617252710876564,5.3371160275479665,4.720821824622482,16.444465980058197,0.0859182221620516,-2.0000000000000444,111.18014542505999,179.290323118303,552.7950248199304,20.023699639497284
 3.1684520414109643,5.33761608403093,4.721005442946869,20.162991147889112,0.07246468151543592,-2.000000000000006,197.59326694867318,179.4250179468008,831.355785906462,18.317172788648733
 3.1750345846291483,5.338007067630951,4.721193068232326,25.63542653830579,0.05929959507906785,-1.9999999999999862,388.4564799169777,179.54559152831703,1338.822931244322,16.524174553313212
 3.181475650367417,5.338288463049001,4.7213847273399665,34.25887305035213,0.04641746360253058,-1.9999999999999656,843.2525535940957,179.65202482288555,2231.8672426826065,14.155443858492202
